,Filtered_Text
233,"['baguette', 'slices', 'container', 'ricotta', 'cheese', 'basil', 'leaves', 'strips', 'mission', 'figs', 'quarters', 'vinegar']"
234,"['broth', 'butter', 'oil', 'onion', 'package', 'rice', 'wine', 'figs', 'slices', 'prosciutto', 'cheese']"
235,"['water', 'dark', 'brown', 'sugar', 'extract', 'package', 'cranberries', 'figs', 'inch', 'sprig']"
236,"['figs', 'sugar', 'lemon', 'seeds', 'mix', 'jars', 'lids', 'rings']"
237,"['oil', 'shallots', 'clove', 'garlic', 'thyme', 'salt', 'pepper', 'goat', 'cheese', 'mozzarella', 'package', 'cream', 'figs', 'basil', 'skinless', 'boneless', 'chicken', 'breast', 'halves', 'slices']"
238,"['butter', 'flour', 'salt', 'milk', 'slices', 'strips', 'figs', 'lemon', 'zest', 'seasoning']"
239,"['figs', 'sugar', 'lemon', 'juice', 'ginger', 'cinnamon', 'vanilla', 'extract', 'salt']"
240,"['figs', 'whiskey', 'flour', 'powder', 'soda', 'salt', 'cinnamon', 'cream', 'tartar', 'cloves', 'sugar', 'oil', 'egg', 'buttermilk', 'vanilla', 'extract']"
241,"['canola', 'oil', 'onion', 'slices', 'figs', 'goat', 'cheese', 'crackers']"
242,"['oil', 'juice', 'orange', 'blossom', 'water', 'zest']"
243,"['figs', 'wine', 'sugar', 'honey', 'pepper', 'flakes', 'salt']"
244,"['pork', 'chops', 'cranberries', 'figs', 'juice', 'apple', 'sugar', 'salt', 'pepper']"
245,"['figs', 'pine', 'nuts', 'peaches', 'sugar', 'wine', 'brandy']"
246,"['vanilla', 'yogurt', 'orange', 'juice', 'cantaloupe', 'ice', 'cubes']"
247,"['sugar', 'water', 'watermelon', 'lemon', 'juice', 'ice', 'cubes']"
248,"['watermelon', 'water', 'honey', 'lemon', 'juice', 'sugar']"
249,"['seedless', 'watermelon', 'cubes', 'tomatoes', 'dice', 'cheese', 'onion', 'mint', 'leaves', 'oil', 'vinegar', 'coarse', 'salt', 'pepper']"
250,"['¼', 'honeydew', 'melon', 'lime', 'sugar']"
251,"['watermelon', '¼', 'milk', 'sugar']"
252,"['sugar', 'water', 'lemon', 'juice', 'watermelon']"
253,"['onion', 'half-moons', 'juice', 'oil', 'seedless', 'watermelon', 'cubes', 'baby', 'cucumbers', 'cheese', 'mint']"
254,"['juice', 'onion', 'lengthwise', 'watermelon', 'cucumber', 'package', 'cheese', 'cilantro', 'pepper', 'sea', 'salt']"
255,"['basil', 'cubes', 'watermelon', 'juice', 'kosher', 'salt', 'chili', 'powder']"
256,"['cumin', 'coriander', 'chili', 'powder', 'salt', 'cayenne', 'pepper', 'watermelon', 'lime']"
257,"['watermelon', 'sugar', 'juice', 'salt', 'water', 'envelope', 'gelatin', 'cream']"
258,"['sprigs', 'basil', 'watermelon', 'fruit', 'melon', 'baller', 'package', 'mozzarella', 'cheese', 'pieces', 'oil', 'vinegar', 'salt', 'pepper']"
259,"['watermelon', 'juice', 'mint', 'honey']"
260,"['oil', 'vinegar', 'kosher', 'salt', 'spinach', 'onion', 'grape', 'tomatoes', 'cheese', 'watermelon', 'chunks']"
261,"['oil', 'vinegar', 'kosher', 'salt', 'grape', 'tomatoes', 'onion', 'watermelon', 'cheese', 'cubes']"
262,"['sugar', 'water', 'strips', 'orange', 'zest', 'watermelon', 'tequila', 'lime', 'juice', 'salt', 'glasses', 'wedges', 'ice']"
263,"['watermelon', 'sugar', 'lemons']"
264,"['seedless', 'watermelon', 'cubes', 'onion', 'basil', 'leaves', 'cilantro', 'mint', 'limes', 'package', 'cheese', 'oil', 'vinegar', 'salt', 'pepper']"
265,"['seedless', 'watermelon', 'water', 'pineapple', 'fluid', 'milk', 'coconut', 'sugar', 'lime']"
266,"['watermelon', 'strawberries', 'peaches', 'cubes', 'nectarines', 'pear', 'seedless', 'grapes', 'lemons', 'mint', 'lemon', 'honey']"
267,"['seedless', 'watermelon', 'strawberries', 'pineapple']"
268,"['water', 'watermelon', 'sugar', 'lime', 'juice']"
269,"['oil', 'juice', 'wine', 'vinegar', 'salt', 'pepper', 'spring', 'mix', 'watermelon', 'log', 'honey', 'goat', 'cheese', 'hazelnuts']"
270,"['watermelon', 'cantaloupe', 'honeydew', 'melon', 'oranges', 'chunks', 'strawberries', 'grapes', 'water', 'sugar', 'zest']"
271,"['watermelon', 'cucumbers', 'chunks', 'limes']"
272,"['honeydew', 'melon', 'ice', 'cubes', 'water', 'sugar']"
273,"['onion', 'lime', 'juice', 'watermelon', 'cheese', 'halves', 'mint', 'oil']"
274,"['cantaloupe', 'sugar', 'lemon', 'juice', 'butter', 'flour', 'vanilla', 'extract', 'cinnamon', 'package', 'cake', 'mix']"
275,"['watermelon', 'rind', 'water', 'sugar', 'spearmint', 'basil']"
276,"['watermelon', 'ice', 'tequila', 'sugar', 'lime', 'juice', 'vodka', 'orange', 'liqueur']"
277,"['watermelon', 'ice', 'cubes', 'lime', 'juice', 'sugar', 'salt']"
278,"['milk', 'sugar']"
279,"['water', 'salt', 'watermelon', 'rind', 'part', 'cubes', 'cider', 'vinegar', 'sugar', 'cloves', 'inch', 'cinnamon', 'stick']"
280,"['water', 'slices', 'cantaloupe', 'sugar', 'ice', 'cubes']"
281,"['watermelon', 'water', 'cucumber', 'lime', 'juice', 'sugar', 'seasoning', 'wedge', 'ice', 'slices']"
282,"['watermelon', 'strawberries', 'lemon', 'juice', 'sugar', 'water']"
283,"['sugar', 'oil', 'eggs', 'vanilla', 'extract', 'flour', 'cinnamon', 'baking', 'soda', 'salt', 'powder', 'ginger']"
284,"['package', 'watermelon', 'water', 'container', 'inch', 'cracker', 'crust']"
285,"['cantaloupe', 'sugar', 'flour', 'salt', 'egg', 'yolks', 'water', 'butter', 'extract', 'whites', 'cream', 'tartar', 'inch', 'pie', 'crust']"
286,"['watermelon', 'baby', 'spinach', 'walnut', 'oil', 'lime', 'sweet', 'paprika']"
287,"['orange', 'juice', 'lime', 'cinnamon']"
288,"['oil', 'vinegar', 'salt', 'pepper', 'watermelon', 'cubes', 'onion', 'mint', 'cheese']"
289,"['watermelon', 'bell', 'pepper', 'juice', 'cilantro', 'onions', 'salt']"
290,"['seedless', 'watermelon', 'water', 'sugar']"
291,"['honeydew', 'melon', 'seedless', 'cucumber', 'onion', 'jalapeno', 'pepper', 'clove', 'garlic', 'vinegar', 'lime', 'juice', 'salt']"
292,"['cubed', 'watermelon', 'seedless', 'grapes', 'cantaloupe', 'strawberries', 'kiwi', 'blueberries', 'sprigs', 'mint', 'sugar', 'lime', 'juice']"
293,"['watermelon', 'water', 'sugar']"
294,"['¼', 'lime', 'seedless', 'watermelon', 'ice', 'gin', 'water']"
295,"['slice', 'watermelon', 'rind', 'ice', 'cubes', 'fluid', 'jigger', 'vodka']"
296,"['fluid', 'vodka', 'lemon', 'juice', 'sugar', 'wedges']"
297,"['orange', 'juice', 'lemon', 'sugar', 'zest', 'vanilla', 'extract']"
298,"['lemon', 'juice', 'sugar', 'butter', 'eggs', 'zest']"
299,"['ice', 'fluid', 'lemon', 'juice', 'simple', 'syrup', 'soda', 'wedge']"
300,"['game', 'hens', 'oil', 'salt', 'pepper', 'lemon', 'sprigs', 'cloves', 'wine', 'low-sodium', 'chicken', 'broth']"
301,"['butter', 'sea', 'scallops', 'juice', 'salt', 'pepper']"
302,"['potatoes', 'wedges', 'oil', 'lemons', 'salt', 'oregano', 'pepper', 'broth']"
303,"['lemons', 'sugar', 'water']"
304,"['oil', 'seasoning', 'chicken', 'wings']"
305,"['egg', 'beaten', 'lemons', 'flour', 'powder', 'paprika', 'skinless', 'boneless', 'chicken', 'breast', 'halves', 'butter', 'slices', 'sprigs', 'parsley']"
306,"['butter', 'room', 'temperature', 'juice', 'vanilla', 'extract', 'confectioners', 'sugar']"
307,"['wine', 'vinegar', 'mustard', 'clove', 'garlic', 'oregano', 'kosher', 'salt', 'pepper', 'oil', 'lemon', 'juice']"
308,"['juice', 'sugar', 'eggs', 'beaten', 'flour', 'salt', 'lemon', 'oil', 'package', 'di', 'pepe', 'pasta', 'oranges', 'tidbits', 'pineapple', 'container', 'miniature', 'coconut']"
309,"['lobster', 'tails', 'butter', 'lemon', 'clove', 'garlic', 'salt', 'pepper', 'parsley', 'wedges']"
310,"['oil', 'fillets', 'salt', 'pepper', 'butter', 'juice']"
311,"['oil', 'lemongrass', 'lemon', 'juice', 'sauce', 'sugar', 'fish', 'thighs', 'thickness']"
312,"['ice', 'cubes', 'fluid', 'vodka', 'triple', 'liqueur', 'oranges', 'soda', 'slice', 'orange']"
313,"['flour', 'sugar', 'powder', 'fine', 'salt', 'frozen', 'butter', 'egg', 'yolks', 'vanilla', 'extract', 'apple', 'cider', 'vinegar']"
314,"['package', 'cake', 'mix', 'orange', 'segments', 'eggs', 'oil', 'pineapple', 'juice', 'container', 'vanilla']"
315,"['honey', 'lemon', 'ginger', 'root', 'cinnamon', 'water']"
316,"['lemons', 'water', 'sugar']"
317,"['oil', 'cloves', 'press', 'juice', 'brown', 'sugar', 'oregano', 'thyme', 'salt', 'pepper', 'taste', 'aluminum', 'foil', 'salmon', 'fillet', 'parsley', 'lemon']"
318,"['sugar', 'powder', 'salt', 'soda', 'butter', 'pieces', 'orange', 'juice', 'zest', 'egg', 'beaten', 'cranberries', 'walnuts']"
319,"['raspberries', 'sugar', 'lemon', 'juice']"
320,['oranges']
321,"['pasta', 'oil', 'carrots', 'ribs', 'celery', 'onion', 'cloves', 'thyme', 'oregano', 'salt', 'pepper', 'bay', 'leaf', 'cartons', 'chicken', 'broth', 'lemon', 'juice', 'breast', 'package', 'baby', 'spinach', 'garnish', 'cheese']"
322,"['sugar', 'butter', 'eggs', 'vanilla', 'extract', 'flour', 'powder', 'milk', 'lemon', 'juice']"
323,"['lemon', 'juice', 'carrots', 'onion', 'celery', 'base', 'pepper', 'margarine', 'flour', 'egg', 'yolks', 'rice', 'meat', 'slices']"
324,"['sugar', 'butter', 'zest', 'eggs', 'lemon', 'juice', 'vanilla', 'extract', 'flour', 'powder', 'salt']"
325,"['oranges', 'pineapple', 'package', 'orange', 'mix', 'cottage', 'cheese']"
326,"['oil', 'onion', 'skinless', 'boneless', 'chicken', 'breast', 'halves', 'sugar', 'sauce', 'juice', 'pepper']"
327,"['salmon', 'fillet', 'salt', 'pepper', 'taste', 'basil', 'leaves', 'oil', 'cooking', 'spray', 'lemon']"
328,"['butter', 'bay', 'shrimp', 'lemon', 'juice', 'salt', 'pepper']"
329,"['flour', 'salt', 'skinless', 'boneless', 'chicken', 'breast', 'halves', 'oil', 'wine', 'lemon', 'juice', 'cold', 'butter', 'pieces', 'capers', 'wedges']"
330,"['oil', 'chicken', 'backbone', 'salt', 'pepper', 'lemon', 'rounds', 'sprigs', 'wine']"
331,"['water', 'honey', 'lemon', 'juice', 'sugar']"
332,"['package', 'cream', 'cheese', 'butter', 'juice', 'vanilla', 'extract', 'confectioners', 'sugar']"
333,"['spray', 'packages', 'roll', 'dough', 'lemons', 'cheese', 'sugar', 'butter']"
334,"['oil', 'roughy', 'orange', 'lemon', 'pepper']"
335,"['eggplant', 'oil', 'salt', 'pepper', 'lemon', 'juice']"
336,"['butter', 'shallots', 'cloves', 'tarragon', 'salt', 'pepper', 'wine', 'lemon', 'parsley']"
337,"['package', 'cake', 'mix', 'eggs', 'oil', 'lemon', 'extract', 'confectioners', 'sugar', 'decoration']"
338,"['lemon', 'sprigs', 'fillets', 'bones', 'skin', 'salt', 'oil']"
339,"['oil', 'butter', 'onion', 'bunch', 'chard', 'center', 'ribs', 'wine', 'lemon', 'juice', 'cheese', 'salt']"
340,"['sugar', 'cube', 'water', 'bitters', 'fluid', 'whiskey', 'rye', 'bourbon', 'twist', 'ice', 'cubes', 'orange', 'slice', 'maraschino', 'cherry']"
341,"['cookie', 'crumbs', 'butter']"
342,"['cloves', 'garlic', 'kosher', 'salt', 'lemon', 'juice', 'light', 'oil', 'water', 'texture']"
343,"['flour', 'sugar', 'powder', 'soda', 'salt', 'butter', 'pieces', 'milk', 'juice', 'vinegar']"
344,"['bananas', 'rounds', 'lemon', 'juice']"
345,"['butter', 'skinless', 'boneless', 'chicken', 'breast', 'halves', 'salt', 'pepper', 'powder', 'lemon']"
346,"['oregano', 'salt', 'pepper', 'butter', 'chicken', 'breast', 'halves', 'water', 'juice', 'cloves', 'bouillon', 'granules', 'parsley']"
347,"['pears', 'lemon', 'juice', 'fruit', 'pectin', 'cinnamon', 'cloves', 'allspice', 'sugar', 'butter', 'half-pint', 'canning', 'jars', 'lids', 'rings']"
348,"['water', 'sugar', 'cucumber', 'lemons']"
349,"['bread', 'crumbs', 'oil', 'flounder', 'fillets', 'egg', 'beaten', 'lemon']"
350,"['peaches', 'flour', 'brown', 'sugar', 'butter', 'cinnamon', 'salt', 'oats']"
351,"['package', 'pastry', 'pie', 'egg', 'beaten', 'peaches', 'juice', 'sugar', 'flour', 'cinnamon', 'salt', 'butter']"
352,"['peaches', 'syrup', 'package', 'cake', 'mix', 'butter', 'cinnamon']"
353,"['butter', 'flour', 'sugar', 'milk', 'cans', 'peaches', 'syrup']"
354,"['strawberries', 'peaches', 'banana', 'chunks', 'ice', 'juice']"
355,"['flour', 'sugar', 'salt', 'shortening', 'egg', 'water', 'butter']"
356,"['mix', 'milk', 'butter', 'margarine', 'peaches', 'sugar']"
357,"['peaches', 'syrup', 'package', 'cake', 'mix', 'butter']"
358,"['butter', 'flour', 'sugar', 'powder', 'salt', 'milk', 'peaches', 'nectarines', 'blueberries', 'strawberries', 'raspberries', 'blackberries', 'combination', 'fruits', 'package', 'berries']"
359,"['peaches', 'sugar', 'package', 'pectin']"
360,"['peaches', 'half-and-half', 'cream', 'sugar', 'milk', 'fluid', 'vanilla', 'extract']"
361,"['sugar', 'butter', 'room', 'temperature', 'flour', 'milk']"
362,"['flour', 'cinnamon', 'baking', 'soda', 'salt', '¼', 'oil', 'eggs', 'sugar', 'peaches']"
363,"['sheets', 'pie', 'crust', 'flour', 'peaches', 'sugar', 'lemon', 'juice', 'cinnamon', 'salt', 'cornstarch', 'egg', 'beaten', 'coarse', 'sparkling']"
364,"['flour', 'salt', 'powder', 'package', 'vanilla', 'mix', 'butter', 'egg', 'milk', 'peaches', 'cream', 'cheese', 'sugar', 'cinnamon']"
365,"['peaches', 'sugar', 'water', 'cream']"
366,"['sugar', 'vinegar', 'water', 'cloves', 'clingstone', 'peaches', 'inch', 'cinnamon', 'sticks']"
367,"['peaches', 'package', 'blueberries', 'juice', 'flour', 'sugar']"
368,"['cans', 'peaches', 'juice', 'flour', 'sugar', 'butter', 'pecans']"
369,"['flour', 'powder', 'sugar', 'milk', 'butter', 'peaches']"
370,"['peaches', 'sugar', 'butter', 'cornstarch', 'vanilla', 'extract', 'cinnamon', 'nutmeg', 'salt', 'buttermilk', 'biscuit', 'dough', '®', 'pastry', 'pie', 'crust']"
371,"['peaches', 'water', 'sugar', 'cinnamon', 'package', 'cake', 'mix', 'cream', 'cheese', 'butter']"
372,"['butter', 'margarine', 'sugar', 'eggs', 'vanilla', 'extract', 'flour', 'powder', 'salt', 'peaches']"
373,"['wine', 'fluid', 'soda', 'brandy', 'peach', 'schnapps', 'peaches', 'package', 'strawberries', 'pineapple', 'chunks', 'container', 'raspberries']"
374,"['butter', 'sugar', 'flour', 'milk', 'peaches', 'syrup']"
375,"['eggs', 'beaten', 'sugar', 'peaches', 'cream', 'vanilla', 'extract', 'salt']"
376,"['peaches', 'eighths', 'lemon']"
377,"['sugar', 'butter', 'pieces', 'cinnamon', 'ripe', 'peaches', 'scoops', 'vanilla', 'ice', 'cream']"
378,"['peaches', 'blackberries', 'sugar', 'cinnamon', 'lemon', 'juice', 'butter', 'flour', 'powder', 'salt', 'milk']"
379,"['peaches', 'sugar', 'cornstarch', 'nutmeg']"
380,"['plain', 'yogurt', 'bananas', 'orange', 'juice', 'sugar', 'cubes', 'ice']"
381,"['egg', 'beaten', '¾', 'sugar', 'oil', 'flour', 'salt', 'cinnamon', 'baking', 'soda', 'peaches', 'pecans']"
382,"['butter', 'sugar', 'peaches', 'egg', 'flour', 'powder', 'salt', 'milk']"
383,"['peaches', 'flour', 'sugar', 'butter', 'recipe', 'pastry', 'inch', 'pie']"
384,"['peaches', 'butter', 'cinnamon', 'cornstarch', 'water', 'milk', 'sugar', 'flour', 'powder', 'salt', 'nutmeg']"
385,"['flour', 'brown', 'sugar', 'powder', 'salt', 'vanilla', 'extract', 'milk', 'margarine', 'peaches', 'cinnamon']"
386,"['peaches', 'cinnamon', 'sugar', 'package', 'cake', 'mix', 'margarine']"
387,"['sugar', 'butter', 'flour', 'peaches', 'recipe', 'pastry', 'inch', 'crust', 'pie']"
388,"['sugar', 'cornstarch', 'cinnamon', 'peaches', 'lemon', 'juice']"
389,"['peaches', 'syrup', 'box', 'cake', 'mix', 'butter', 'pats']"
390,"['peaches', 'milk', 'eggs', 'water', 'butter', 'cinnamon', 'vanilla', 'extract', 'bread', 'pieces']"
391,"['oil', 'vinegar', 'salt', 'heirloom', 'tomatoes', 'ripe', 'peaches', 'moons', 'leaves', 'basil', 'ball', 'mozzarella']"
392,"['package', 'peach', 'slices', 'brown', 'sugar', 'substitute', 'pecans', 'flour', 'vanilla', 'extract']"
393,"['sugar', 'butter', 'brown', 'chocolate', 'mix', 'bananas', 'peach', 'milk', 'eggs', 'vanilla', 'extract', 'flour', 'walnuts', 'baking', 'soda', 'salt']"
394,"['strawberries', 'banana', 'peaches', 'apples', 'vanilla', 'ice', 'cream', 'cubes', 'milk']"
395,"['sugar', 'butter', 'water', 'peaches', 'inch', 'thick', 'bread', 'eggs', 'vanilla', 'extract', 'cinnamon']"
396,"['inch', 'pie', 'shell', 'sugar', 'water', 'cornstarch', 'butter', 'peaches', 'vanilla', 'extract']"
397,"['mangos', 'peaches', 'dice', 'pineapple', 'tomatoes', 'onion', 'bell', 'pepper', 'yellow', 'cilantro', 'clove', 'garlic', 'jalapeno', 'juice', 'salt', 'sugar', 'water']"
398,"['butter', 'syrup', 'sugar', 'brown', 'cinnamon', 'vanilla', 'extract', 'milk', 'flour', 'powder', 'salt']"
399,"['water', 'sugar', 'slices', 'peach']"
400,"['peaches', 'raisins', 'cloves', 'onion', 'ginger', 'chili', 'powder', 'mustard', 'seed', 'curry', 'sugar', 'apple', 'cider', 'vinegar', 'pickling', 'spice']"
401,"['package', 'ready-to-use', 'pie', 'crust', 'ginger', 'sugar', 'firm', 'pears', 'quality', 'bourbon', 'whiskey', 'butter', 'salt']"
402,"['inch', 'pie', 'crust', 'pastry', 'sugar', 'cream', 'flour', 'egg', 'beaten', 'vanilla', 'extract', 'salt', 'pears']"
403,"['sugar', 'flour', 'cinnamon', 'salt', 'egg', 'beaten', 'cream', 'pears', 'inch', 'graham', 'cracker', 'crust', 'butter']"
404,"['pastry', 'crust', '%', 'chocolate', 'eggs', 'superfine', 'sugar', 'butter', 'pears']"
405,"['inch', 'crust', 'pears', 'half', 'sugar', 'butter', 'flour', 'vanilla', 'extract', 'eggs']"
406,"['butter', 'cream', 'cheese', 'flour', 'apples', 'orange', 'juice', 'brown', 'sugar', 'cinnamon', 'cardamom', 'cornstarch', 'apricot', 'jam']"
407,"['flour', 'brown', 'sugar', 'cheese', 'butter']"
408,"['sheet', 'puff', 'pastry', 'thawed', 'pears', ""d'Anjou"", 'pear', 'sugar', 'lemon', 'package', 'cream', 'cheese', 'confectioners', 'vanilla', 'extract', 'turbinado']"
409,"['spray', 'sugar', 'butter', 'flour', 'almonds']"
410,"['package', 'puff', 'pastry', 'butter', 'brown', 'sugar', 'cinnamon', 'maple', 'syrup', 'firm']"
411,"['inch', 'pie', 'crust', 'pastry', 'butter', 'sugar', 'flour', 'allspice', 'salt', 'cinnamon', 'eggs', 'pears']"
412,"['pears', 'lemon', 'sugar', 'inch', 'pie', 'crust', 'butter', 'brown', 'flour']"
413,"['apple', 'pear', 'brown', 'sugar', 'vanilla', 'extract', 'cornstarch', 'cinnamon', 'cloves', 'salt', 'egg', 'water', 'recipe', 'pastry', 'crust', 'pie', 'coarse', 'chocolate', 'chips']"
414,"['inch', 'crust', 'pears', 'cream', 'sugar', 'flour', 'egg', 'vanilla', 'extract', 'salt']"
415,"['inch', 'crust', 'eggs', 'flour', 'sugar', 'almond', 'extract', 'butter', 'pears']"
416,"['flour', 'mix', 'sugar', 'salt', 'butter', 'cubes', 'water']"
417,"['butter', 'sugar', 'flour', 'eggs', 'sheet', 'puff', 'pastry', 'milk', 'chocolate', 'pears']"
418,"['water', 'sugar', 'honey', 'vanilla', 'bean', 'split', 'lengthwise', 'cinnamon', 'stick', 'pods', 'cardamom', 'Conference', 'pears']"
419,"['inch', 'shells', 'sugar', 'butter', 'vinegar', 'cinnamon', 'ripe', ""d'Anjou"", 'almonds']"
420,"['sugar', 'flour', 'pears', 'cream', 'vanilla', 'extract', 'lemon', 'almond', 'inch', 'pie', 'shell']"
421,"['pastry', 'crust', 'pie', 'sugar', 'flour', 'cinnamon', 'nutmeg', 'apples', 'peaches', 'pears', 'plums', 'ginger', 'root', 'lemon', 'juice']"
422,"['flour', 'sugar', 'salt', 'cheese', 'butter']"
423,"['flour', 'sugar', 'sea', 'salt', 'butter', 'water', 'egg', 'beaten', 'wash', 'turbinado', 'sheet']"
424,"['pears', 'water', 'lemon', 'juice', 'package', 'fruit', 'pectin', 'sugar']"
425,"['pears', 'lemon', 'juice', 'fruit', 'pectin', 'cinnamon', 'cloves', 'allspice', 'sugar', 'butter', 'half-pint', 'canning', 'jars', 'lids', 'rings']"
426,"['oats', 'sugar', 'flour', 'butter', 'apples', 'pears', 'cinnamon', 'almonds']"
427,"['pecans', 'sugar']"
428,"['pears', 'fruit', 'lemon', 'juice', 'package', 'pectin', 'sugar']"
429,"['pears', 'sugar', 'flour', 'salt', 'soda', 'cinnamon', 'cloves', 'egg', 'whites', 'canola', 'oil', 'pecans']"
430,"['oats', 'brown', 'sugar', 'flour', 'ginger', 'cinnamon', 'butter', 'pears', 'vanilla', 'ice', 'cream']"
431,"['pears', 'slices', 'lemon', 'juice', 'maple', 'syrup', 'butter']"
432,"['wine', 'clove', 'garlic', 'mustard', 'vinegar', 'pepper', 'sea', 'salt', 'oil']"
433,"['flour', 'powder', 'baking', 'soda', 'salt', 'cinnamon', 'oil', 'eggs', 'sugar', 'pears', 'pecans', 'vanilla', 'extract']"
434,"['pears', 'pineapple', 'juice', 'sugar']"
435,"['butternut', 'squash', 'butter', 'onion', 'cloves', 'ginger', 'root', 'curry', 'powder', 'salt', 'sodium', 'chicken', 'broth', 'firm', 'ripe', 'pears', 'dice', 'half']"
436,"['pears', 'sugar', 'orange', 'zest', 'juice']"
437,"['butter', 'thick', 'slices', 'bread', 'cheese', 'thyme', 'pepper', 'salt']"
438,"['pears', 'onions', 'bell', 'peppers', 'jalapeno', 'apple', 'cider', 'vinegar', 'sugar', 'mustard', 'salt', 'jars', 'lids', 'rings']"
439,"['water', 'sugar', 'package', 'cranberries', 'orange', 'apple', 'fruit', 'pecans', 'salt', 'cinnamon', 'nutmeg']"
440,"['bag', 'field', 'greens', 'onion', 'pear', 'pecans', 'cheese', 'maple', 'syrup', 'apple', 'cider', 'vinegar', 'mayonnaise', 'sugar', 'salt', 'pepper', 'walnut', 'oil']"
441,"['package', 'boiling', 'water', 'halves', 'juice', 'cream', 'cheese']"
442,"['mustard', 'vinegar', 'oil', 'apple', 'pear', 'cranberries', 'package', 'baby', 'greens', 'cheese', 'walnuts']"
443,"['sugar', 'lemon', 'juice', 'onion', 'mustard', 'salt', 'oil', 'seeds', 'head', 'romaine', 'lettuce', 'pieces', 'cheese', 'cashews', 'cranberries', 'apple']"
444,"['package', 'pizza', 'crust', 'dough', 'provolone', 'cheese', 'pear', 'walnuts', 'chives']"
445,"['pears', 'chunks', 'apples', 'water', 'vanilla', 'extract', 'cinnamon']"
446,"['pizza', 'crust', 'cloves', 'mustard', 'sprigs', 'wine', 'vinegar', 'oil', 'cheese', 'salt', 'pepper', 'taste', 'mozzarella', 'pears', 'walnut', 'pieces']"
447,"['water', 'lemon', 'pears', 'vanilla', 'bean', 'sugar', 'fudge', 'topping', 'ice', 'cream']"
448,"['sugar', 'lemon', 'juice', 'apple', 'pears']"
449,"['oil', 'vinegar', 'dark', 'brown', 'sugar', 'salt', 'pepper', 'baby', 'greens', 'pears', 'cranberries', 'pecans', 'cheese', 'almonds']"
450,"['watermelon', 'strawberries', 'peaches', 'cubes', 'nectarines', 'pear', 'seedless', 'grapes', 'lemons', 'mint', 'lemon', 'honey']"
451,"['pasta', 'butter', 'cheese', 'whipping', 'cream', 'pear', 'walnuts', 'pepper']"
452,"['fruit', 'apples', 'plums', 'pears', 'water', 'apple', 'juice', 'soy', 'sauce', 'apricot', 'preserves', 'sugar', 'powder', 'mustard']"
453,"['wheat', 'flour', 'bread', 'crumbs', 'suet', 'eggs', 'beaten', 'carrot', 'apple', 'dark', 'brown', 'sugar', 'almonds', 'stem', 'ginger', 'syrup', 'walnuts', 'cherries', 'raisins', 'currants', 'fruit', 'peel', 'plums', 'lemon', 'spice', 'powder', 'ale']"
454,"['plums', 'sugar', 'water', 'tapioca', 'cinnamon', 'mix', 'milk', 'margarine']"
455,"['plums', 'flour', 'margarine', 'sugar', 'vanilla', 'extract', 'eggs', 'salt', 'soda', 'plain', 'yogurt', 'brown']"
456,"['oil', 'eggs', 'sugar', 'flour', 'baking', 'soda', 'salt', 'allspice', 'cinnamon', 'buttermilk', 'vanilla', 'extract', 'prunes', 'pecans', 'butter', 'corn', 'syrup']"
457,"['plums', 'chunks']"
458,"['sugar', 'butter', 'room', 'temperature', 'eggs', 'flour', 'powder', 'salt', 'plums', 'cinnamon']"
459,"['plums', 'eighths', '¼', 'sugar', 'proof', 'vodka', 'vanilla', 'extract', 'orange', 'peel', 'pieces']"
460,"['flour', 'sugar', 'powder', 'salt', 'butter', 'eggs', 'vanilla', 'extract', 'milk', 'lemon', 'zest', 'cinnamon', 'hazelnuts', 'plums', 'nutmeg']"
461,"['eggs', 'butter', 'sugar', 'lemon', 'flour', 'powder', '¼', 'plums']"
462,"['pork', 'tenderloin', 'salt', 'pepper', 'oil', 'onion', 'shallots', 'thyme', 'sprigs', 'firm', 'plums', 'cut', 'wedges', 'water', 'vinegar', 'cold', 'butter']"
463,"['sugar', 'margarine', 'eggs', 'beaten', 'flour', 'powder', 'salt', 'vanilla', 'extract', 'plums']"
464,"['margarine', 'sugar', 'egg', 'milk', 'flour', 'vanilla', 'extract']"
465,"['sugar', 'prune', 'plums', 'eggs', '⅓', 'milk', 'flour', 'vanilla', 'salt', 'cinnamon', 'confectioners']"
466,"['plums', 'water', 'sugar']"
467,"['flour', 'powder', 'salt', 'margarine', 'brown', 'sugar', 'egg', 'vanilla', 'extract', 'milk', 'plums', 'blueberries']"
468,"['plums', 'orange', 'juice', 'sugar', 'cinnamon', 'cumin', 'cardamom', 'almonds']"
469,"['oil', 'boneless', 'pork', 'chops', 'salt', 'pepper', 'clove', 'garlic', 'soy', 'sauce', 'wine', 'vinegar', 'sugar', 'ginger', 'cloves', 'plums']"
470,"['prunes', 'water', 'sugar', 'lemon', 'juice', 'vanilla', 'extract', 'egg', 'whites', 'cream', 'tartar']"
471,"['pastry', 'rectangles']"
472,"['prune', 'plums', 'sugar', 'potatoes']"
473,"['plums', 'water', 'cardamom', 'pods', 'sugar', 'butter']"
474,"['peaches', 'apple', 'pear', 'blueberries', 'cherries', 'plums', 'egg', 'sugar', 'milk', 'flour', 'powder', 'salt', 'vanilla', 'extract', 'butter']"
475,"['prunes', 'water', 'flour', 'sugar', 'allspice', 'baking', 'soda', 'cinnamon', 'salt', 'oil', 'buttermilk', 'eggs', 'pecans']"
